Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft
28,CLE,Dave Magley,Kansas,1.0,14.0,56.0,12.0,10.0,2.0,0.25,0.0,0.5,4.0,0.9,0.7,0.1,-0.1,-0.066,-5.0,-0.1,1982
29,NYK,Scott Hastings,Arkansas,11.0,578.0,5985.0,1647.0,1287.0,284.0,0.441,0.292,0.8109999999999999,10.4,2.8,2.2,0.5,9.8,0.079,-2.8,-1.2,1982
30,CHI,Wallace Bryant,San Francisco,3.0,102.0,1395.0,323.0,374.0,112.0,0.40700000000000003,0.0,0.573,13.7,3.2,3.7,1.1,1.3,0.044000000000000004,-2.5,-0.2,1982
31,CHI,Rod Higgins,Fresno State,13.0,779.0,17189.0,7011.0,2819.0,1254.0,0.465,0.342,0.8079999999999999,22.1,9.0,3.6,1.6,37.8,0.106,0.0,8.8,1982
32,LAC,Richard Anderson,UC Santa Barbara,6.0,407.0,6002.0,2260.0,1418.0,611.0,0.41200000000000003,0.33299999999999996,0.762,14.7,5.6,3.5,1.5,7.6,0.061,-1.1,1.4,1982
33,POR,Linton Townes,James Madison University,3.0,60.0,543.0,257.0,67.0,32.0,0.44,0.36,0.75,9.1,4.3,1.1,0.5,0.6,0.057,-3.2,-0.2,1982
34,NYK,Vince Taylor,Duke,1.0,31.0,321.0,95.0,36.0,41.0,0.363,0.0,0.6559999999999999,10.4,3.1,1.2,1.3,0.1,0.009000000000000001,-3.2,-0.1,1982
35,GSW,Derek Smith,Louisville,9.0,408.0,9825.0,5232.0,1300.0,866.0,0.499,0.294,0.753,24.1,12.8,3.2,2.1,18.3,0.08900000000000001,-0.7,3.2,1982
36,PHI,J.J. Anderson,Bradley,3.0,157.0,1970.0,751.0,439.0,110.0,0.465,0.0,0.5579999999999999,12.5,4.8,2.8,0.7,2.7,0.065,-1.9,0.0,1982
37,POR,Audie Norris,Jackson State University,3.0,187.0,2585.0,819.0,576.0,147.0,0.511,0.0,0.662,13.8,4.4,3.1,0.8,2.9,0.054000000000000006,-3.6,-1.1,1982
38,GSW,Wayne Sappleton,Loyola Chicago,1.0,33.0,298.0,96.0,75.0,7.0,0.47100000000000003,0.0,0.41200000000000003,9.0,2.9,2.3,0.2,0.1,0.012,-6.3,-0.3,1982
39,PHO,Kevin Magee,"University of California, Irvine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
40,IND,Guy Morgan,Wake Forest,1.0,8.0,46.0,15.0,17.0,7.0,0.292,0.0,0.25,5.8,1.9,2.1,0.9,-0.1,-0.059000000000000004,-4.6,0.0,1982
41,WAS,Dwight Anderson,USC,1.0,5.0,33.0,21.0,2.0,3.0,0.5,0.0,0.7,6.6,4.2,0.4,0.6,0.0,0.001,-4.8,0.0,1982
42,HOU,Jeff Taylor,Texas Tech,2.0,56.0,818.0,179.0,82.0,113.0,0.41200000000000003,0.0,0.696,14.6,3.2,1.5,2.0,-0.1,-0.008,-3.0,-0.2,1982
43,IND,Jose Slaughter,University of Portland,1.0,63.0,515.0,225.0,68.0,52.0,0.374,0.22,0.644,8.2,3.6,1.1,0.8,-0.1,-0.006999999999999999,-4.2,-0.3,1982
44,WAS,Mike Gibson,USC Upstate,2.0,64.0,390.0,101.0,106.0,14.0,0.387,0.0,0.679,6.1,1.6,1.7,0.2,0.3,0.042,-4.1,-0.2,1982
45,PHI,Russ Schoene,Chattanooga,4.0,290.0,3548.0,1491.0,735.0,175.0,0.435,0.335,0.7509999999999999,12.2,5.1,2.5,0.6,4.5,0.061,-3.4,-1.3,1982
46,BOS,Tony Guy,Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
47,CLE,Michael Wilson,Marquette,3.0,32.0,338.0,108.0,36.0,45.0,0.43799999999999994,0.0,0.75,10.6,3.4,1.1,1.4,0.3,0.038,-0.8,0.1,1982
48,LAC,Craig Hodges,Cal State Long Beach,10.0,695.0,15077.0,5940.0,937.0,1769.0,0.461,0.4,0.828,21.7,8.5,1.3,2.5,27.2,0.087,-0.9,4.0,1982
49,UTA,Steve Trumbo,BYU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
50,DAL,Corny Thompson,UConn,1.0,44.0,520.0,122.0,120.0,34.0,0.314,0.0,0.7829999999999999,11.8,2.8,2.7,0.8,-0.1,-0.01,-5.9,-0.5,1982
51,SAC,Jim Johnstone,Wake Forest,1.0,23.0,191.0,31.0,46.0,11.0,0.36700000000000005,0.0,0.45,8.3,1.3,2.0,0.5,-0.1,-0.02,-4.4,-0.2,1982
52,NYK,Dan Caldwell,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
53,CHI,Tyrone Adams,Kansas State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
54,LAL,Willie Jones,Vanderbilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
55,UTA,Jerry Eaves,Louisville,4.0,168.0,2685.0,1132.0,208.0,414.0,0.47200000000000003,0.071,0.773,16.0,6.7,1.2,2.5,2.6,0.046,-3.2,-0.8,1982
56,ATL,Joe Kopicki,Detroit Mercy,3.0,118.0,1187.0,432.0,314.0,84.0,0.493,0.273,0.812,10.1,3.7,2.7,0.7,3.5,0.142,-0.4,0.5,1982
57,NYK,Craig Tucker,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
58,WAS,Mike Largey,Upsala College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
59,BKN,Jimmy Black,UNC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
60,GSW,Chris Engler,Wyoming,5.0,195.0,1405.0,343.0,386.0,45.0,0.41100000000000003,0.0,0.677,7.2,1.8,2.0,0.2,0.6,0.02,-5.7,-1.4,1982
61,PHO,Charles Pittman,Maryland,4.0,234.0,3292.0,1060.0,718.0,204.0,0.546,0.0,0.711,14.1,4.5,3.1,0.9,4.2,0.062,-2.8,-0.7,1982
62,DEN,Roylin Bond,Pepperdine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
63,HOU,Chuck Nevitt,NC State,9.0,155.0,826.0,251.0,239.0,19.0,0.43799999999999994,0.0,0.589,5.3,1.6,1.5,0.1,0.5,0.031,-4.8,-0.6,1982
64,SAS,Willie Redden,South Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
65,OKC,John Greig,Oregon,1.0,9.0,26.0,19.0,6.0,0.0,0.5379999999999999,0.0,0.833,2.9,2.1,0.7,0.0,0.1,0.182,-3.8,0.0,1982
66,POR,Phillip Lockett,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
67,LAL,Mike Hackett,Jacksonville University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
68,PHI,Dale Solomon,Virginia Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
69,BOS,Perry Moss,Northeastern University,2.0,136.0,1710.0,536.0,210.0,198.0,0.415,0.174,0.722,12.6,3.9,1.5,1.5,0.9,0.025,-2.6,-0.3,1982
70,CLE,Reggie Hannah,University of South Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
71,LAC,Darius Clemons,Loyola Chicago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
72,UTA,Mark Eaton,UCLA,11.0,875.0,25169.0,5216.0,6939.0,840.0,0.45799999999999996,0.0,0.649,28.8,6.0,7.9,1.0,44.8,0.085,-0.1,11.8,1982
73,DAL,Rudy Woods,Texas A&M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
74,SAC,Mike Sanders,UCLA,11.0,648.0,12391.0,5162.0,1927.0,880.0,0.48200000000000004,0.221,0.769,19.1,8.0,3.0,1.4,17.9,0.069,-2.3,-0.9,1982
75,NYK,Norm Anchrum,UAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
76,CHI,Chuck Aleksinas,UConn,1.0,74.0,1114.0,377.0,270.0,36.0,0.478,0.0,0.733,15.1,5.1,3.6,0.5,0.4,0.019,-5.6,-1.0,1982
77,IND,Jeff Jones,Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
78,DET,Walker Russell,Western Michigan,6.0,155.0,1767.0,464.0,187.0,350.0,0.39299999999999996,0.158,0.8,11.4,3.0,1.2,2.3,-0.7,-0.02,-4.3,-1.1,1982
79,POR,Eric Smith,Georgetown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
80,BKN,James Griffin,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
81,WAS,Dino Gregory,Cal State Long Beach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
82,BKN,Tony Brown,Arkansas,7.0,360.0,6006.0,2163.0,766.0,563.0,0.43700000000000006,0.259,0.7190000000000001,16.7,6.0,2.1,1.6,4.9,0.039,-2.8,-1.2,1982
83,GSW,Ken Stancell,VCU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
84,DEN,Alford Turner,Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
85,HOU,Andre Gaddy,George Mason,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
86,PHO,Rory White,University of South Alabama,5.0,324.0,5410.0,2387.0,749.0,232.0,0.506,0.077,0.6809999999999999,16.7,7.4,2.3,0.7,6.5,0.057999999999999996,-2.6,-0.9,1982
87,SAS,Tony Grier,South Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
88,OKC,Ken Owens,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
89,MIL,Jerry Beck,Middle Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
90,LAL,Craig McCormick,Western Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
91,PHI,Bruce Atkins,Duquesne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
92,BOS,Greg Stewart,Tulsa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
93,CLE,Terry White,Texas-El Paso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
94,LAC,Gary Carter,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
95,UTA,Mike McKay,UConn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
96,DAL,Ken Arnold,Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
97,SAC,Ken Simpson,Grambling State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
98,NYK,Aaron Howard,Villanova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
99,CHI,Rubin Jackson,Oklahoma City University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
100,IND,Rich DiBenedetto,University of Wisconsin-Eau Claire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
101,DET,John Ebeling,Florida Southern College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
102,ATL,Mark Hall,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
103,POR,Cherokee Rhone,Centenary (LA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
104,WAS,Clarence Dickerson,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
105,BKN,Chris Giles,UAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
106,GSW,Albert Irving,Alcorn State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
107,HOU,Jeff Schneider,Virginia Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
108,PHO,Marvin McCrary,Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
109,DEN,Bill Duffy,Santa Clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
110,SAS,Clarence Swannegan,Texas Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
111,OKC,Rod Camp,Southern Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
112,WAS,Jerry Davis,Detroit Mercy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
113,LAL,Howard McNeill,Seton Hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
114,PHI,Donald Mason,Fresno State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
115,BOS,William Brown,Saint Peter's College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
116,CLE,Vince Reynolds,South Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
117,LAC,Eric Marbury,Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
118,UTA,Alvin Jackson,Southern University and A&M College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
119,DAL,Wayne Waggoner,Northwestern State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
120,SAC,Poncho Wright,Louisville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
121,NYK,Mike Kanieski,Dayton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
122,CHI,B. B. Fontenet,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
123,IND,Jeff Clark,Saint Joseph's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
124,DET,Gary Holmes,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
125,POR,Leo Cunningham,Utah State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
126,ATL,Jay Bruchak,Mount St. Mary's University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
127,WAS,Byron Williams,Idaho State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
128,BKN,Mel Daniel,Furman University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
129,GSW,David Vann,Saint Mary's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
130,PHO,Jake Bethany,Hardin-Simmons University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
131,DEN,Chris Brust,UNC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
132,HOU,Don Wilson,Louisiana-Monroe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
133,SAS,Jaime Pena,New Mexico State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
134,OKC,Bobby Potts,UNC Charlotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
135,MIL,Tony Carr,University of Wisconsin-Eau Claire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
136,LAL,Lynden Rose,Houston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
137,PHI,Kevin Boyle,Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
138,BOS,John Schweitz,Richmond,2.0,22.0,117.0,57.0,22.0,18.0,0.33299999999999996,0.0,0.7,5.3,2.6,1.0,0.8,-0.5,-0.207,-11.6,-0.3,1982
139,CLE,Randy Reed,Kansas State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
140,LAC,Eddie Hughes,Colorado State,3.0,97.0,1158.0,296.0,93.0,159.0,0.41600000000000004,0.364,0.6920000000000001,11.9,3.1,1.0,1.6,1.5,0.06,-2.3,-0.1,1982
141,UTA,Thad Gardner,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
142,DAL,Bob Grady,Northwestern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
143,SAC,Perry Range,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
144,NYK,Phil Seymore,Canisius,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
145,CHI,Chuck Verderber,Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
146,IND,Brad Leaf,University of Evansville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
147,DET,Dean Marquardt,Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
148,ATL,Horace Wyatt,Clemson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
149,POR,Terry Long,Lamar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
150,WAS,Wendell Gibson,South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
151,BKN,Tony Anderson,UCLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
152,GSW,Matt Waldron,University of the Pacific,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
153,DEN,Jeb Barlow,UNC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
154,HOU,Mike Helms,Wake Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
155,PHO,Phil Ward,UNC Charlotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
156,SAS,Delonte Taylor,University of North Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
157,OKC,Allen Rayhorn,Northern Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
158,MIL,Bobby Austin,Cincinnati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
159,LAL,Maurice Williams,USC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
160,PHI,Keith Hilliard,Missouri State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
161,BOS,Phil Collins,West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
162,CLE,Monty Knight,VCU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
163,LAC,Jacques Tuz,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
164,UTA,Rick Campbell,Middle Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
165,DAL,Keith Peterson,Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
166,SAC,Ed Nealy,Kansas State,10.0,540.0,6792.0,1451.0,1799.0,392.0,0.498,0.292,0.684,12.6,2.7,3.3,0.7,15.2,0.107,-0.7,2.2,1982
167,NYK,Dan Terwilliger,Siena College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
168,CHI,Mike Burns,UNLV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
169,IND,Donald Reese,Bradley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
170,DET,Brian Nyenhuis,Marquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
171,POR,Dave Porter,Western Oregon University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
172,ATL,James Ratiff,Howard University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
173,WAS,Ken Luck,University of Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
174,BKN,Otis Jackson,Memphis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
175,GSW,Mark King,Florida Southern College,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
176,HOU,Dan Callandrillo,Seton Hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982
