Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPG,PPG,RPG,APG,WS,WS/48,BPM,VORP,Draft
15,POR,Jeff Lamp,Virginia,6.0,291.0,3471.0,1495.0,437.0,269.0,0.47,0.222,0.841,11.9,5.1,1.5,0.9,5.2,0.07200000000000001,-2.6,-0.5,1981
16,POR,Darnell Valentine,Kansas,9.0,620.0,14395.0,5400.0,1318.0,3080.0,0.43700000000000006,0.261,0.787,23.2,8.7,2.1,5.0,22.1,0.07400000000000001,-0.5,5.5,1981
17,SAC,Kevin Loder,Alabama State University,3.0,148.0,2094.0,875.0,338.0,174.0,0.461,0.261,0.695,14.1,5.9,2.3,1.2,2.4,0.055,-1.7,0.2,1981
18,BKN,Ray Tolbert,Indiana,5.0,261.0,2789.0,928.0,609.0,135.0,0.495,0.0,0.544,10.7,3.6,2.3,0.5,2.9,0.051,-3.0,-0.7,1981
19,LAL,Mike McGee,Michigan,9.0,520.0,9271.0,4968.0,1112.0,629.0,0.48700000000000004,0.354,0.597,17.8,9.6,2.1,1.2,15.1,0.078,-1.3,1.7,1981
20,PHO,Larry Nance,Clemson,13.0,920.0,30697.0,15687.0,7352.0,2393.0,0.546,0.145,0.755,33.4,17.1,8.0,2.6,109.6,0.171,3.6,43.5,1981
21,MIL,Alton Lister,Arizona State,16.0,953.0,18965.0,6298.0,5996.0,914.0,0.512,0.111,0.597,19.9,6.6,6.3,1.0,36.6,0.09300000000000001,-1.4,3.1,1981
22,PHI,Franklin Edwards,Cleveland State University,7.0,296.0,4436.0,1802.0,300.0,774.0,0.449,0.03,0.795,15.0,6.1,1.0,2.6,3.9,0.043,-1.9,0.1,1981
23,BOS,Charles Bradley,Wyoming,3.0,110.0,910.0,347.0,119.0,55.0,0.41600000000000004,0.0,0.585,8.3,3.2,1.1,0.5,0.3,0.016,-3.4,-0.4,1981
24,DAL,Jay Vincent,Michigan State,9.0,576.0,15556.0,8729.0,3167.0,1124.0,0.474,0.14800000000000002,0.784,27.0,15.2,5.5,2.0,27.5,0.085,-1.3,2.6,1981
25,BOS,Tracy Jackson,Notre Dame,3.0,129.0,1797.0,694.0,243.0,132.0,0.46299999999999997,0.154,0.7490000000000001,13.9,5.4,1.9,1.0,2.4,0.064,-1.5,0.2,1981
26,POR,Brian Jackson,Utah State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981
